1985	7	2	17888.292	0.1
1986	7	2	23338.364	0.1
1987	7	2	25673.822	0.1
1988	7	2	25498.217	0.1
1989	7	2	24276.581	0.1
1990	7	2	24134.897	0.1
1991	7	2	23136.407	0.1
1992	7	2	22835.939	0.1
1993	7	2	22392.103	0.1
1994	7	2	21916.173	0.1
1995	7	2	18384.309	0.1
1996	7	2	15790.785	0.1
1997	7	2	15752.072	0.1
1998	7	2	16553.88	0.1
1999	7	2	17831.595	0.1
2000	7	2	18286.607	0.1
2001	7	2	18167.069	0.1
2002	7	2	17131.135	0.1
2003	7	2	18019.658	0.1
2004	7	2	18103.034	0.1
2005	7	2	10037.449	0.1
2006	7	2	4315.787	0.1
2007	7	2	6394.094	0.1
2008	7	2	12561.548	0.1
2009	7	2	18041.737	0.1
2010	7	2	20984.218	0.1
2011	7	2	21500.078	0.1
2012	7	2	16796.423	0.1
2013	7	2	15400.082	0.1
2014	7	2	17231.359	0.1
2015	7	2	18840.248	0.1
2016	7	2	17652.401	0.1
2017	7	2	17660.79	0.1
2018	7	2	16395.337	0.1
2019	7	2	12817.137	0.1
2020	7	2	12457.708	0.1
1985	7	3	8990.709	0.1
1986	7	3	7800.229	0.1
1987	7	3	6654.512	0.1
1988	7	3	6149.982	0.1
1989	7	3	6091.24	0.1
1990	7	3	6117.985	0.1
1991	7	3	6018.906	0.1
1992	7	3	5969.663	0.1
1993	7	3	5462.463	0.1
1994	7	3	5324.8	0.1
1995	7	3	4285.795	0.1
1996	7	3	4029.45	0.1
1997	7	3	3128.5	0.1
1998	7	3	3044.835	0.1
1999	7	3	3406.688	0.1
2000	7	3	3741.864	0.1
2001	7	3	3896.236	0.1
2002	7	3	3987.134	0.1
2003	7	3	4206.871	0.1
2004	7	3	4356.499	0.1
2005	7	3	3791.715	0.1
2006	7	3	2617.425	0.1
2007	7	3	2403.531	0.1
2008	7	3	2507.622	0.1
2009	7	3	2824.255	0.1
2010	7	3	3257.106	0.1
2011	7	3	3630.562	0.1
2012	7	3	3722.735	0.1
2013	7	3	3618.244	0.1
2014	7	3	3648.413	0.1
2015	7	3	3768.955	0.1
2016	7	3	3703.047	0.1
2017	7	3	3828.578	0.1
2018	7	3	3897.697	0.1
2019	7	3	3582.303	0.1
2020	7	3	3452.624	0.1
-9999	1	1	1	1
